Timestamp,PM2_5,PM10,O3_lcs_ppb,Carbon_Monoxide,Temp_lcs,RH_lcs,CO_lcs_ppm,CO_ref,O3_ref,RH_ref,Temp_ref,O3_baseline_cal,O3_ml_residual_cal
2025-03-14 16:00:00,6.677966102,7.677966102,20.47457627,473.6440678,25.49661017,23.7220339,0.4736440678,,87.0,9.0,28.0,48.08617746511367,24.643984691689425
2025-03-14 17:00:00,5.827586207,6.827586207,17.87931034,476.8103448,25.76034483,23.41034483,0.4768103448,,68.0,11.0,28.0,47.63961136593833,10.76172918215345
2025-03-14 18:00:00,5.915254237,6.915254237,15.05084746,484.6949153,25.83389831,23.35932203,0.4846949153,,55.0,14.0,27.0,46.273544090203316,-0.2532223741511914
2025-03-14 19:00:00,6.793103448,7.793103448,13.36206897,489.7931034,25.95344828,22.95517241,0.4897931034,,37.0,10.0,25.0,46.09389879156787,-8.386917944948516
2025-03-14 20:00:00,9.0,10.0,12.61016949,481.1186441,26.0,22.53559322,0.4811186441,,,,,46.28226455393162,-11.855172562397165
2025-03-14 21:00:00,10.42372881,11.42372881,13.08474576,498.6101695,26.01864407,22.86779661,0.4986101695,,38.0,18.0,22.0,46.208714990901605,-10.35731284943561
2025-03-14 22:00:00,7.24137931,8.24137931,11.48275862,448.8275862,26.1,20.63103448,0.4488275861999999,,32.0,18.0,21.0,48.19844683625147,-18.598708130556787
2025-03-14 23:00:00,32.83050847,34.40677966,12.28813559,505.2881356,26.15423729,19.02881356,0.5052881356,,24.0,16.0,20.0,50.79137988202343,-36.236342597525244
2025-03-15 00:00:00,27.25423729,28.89830508,12.89830508,550.5254237,26.2,18.91864407,0.5505254237,,14.0,18.0,19.0,51.399508823020966,-39.7343555483656
2025-03-15 01:00:00,17.30508475,18.30508475,13.01694915,556.8474576,26.20169492,19.03898305,0.5568474576,,8.0,23.0,18.0,51.32019905772713,-41.18393795035304
2025-03-15 02:00:00,13.0862069,14.0862069,12.81034483,524.2586207,26.17241379,18.96551724,0.5242586207000001,0.83,6.0,26.0,16.0,51.21728102908003,-41.49054240505103
2025-03-15 03:00:00,11.01694915,12.01694915,12.71186441,530.2033898,26.06440678,19.02711864,0.5302033897999999,,7.0,27.0,15.0,50.79920285847288,-41.94120501930203
2025-03-15 04:00:00,7.810344828,8.810344828,12.01724138,513.4482759,26.0,18.31724138,0.5134482759,0.75,4.0,28.0,15.0,51.13235027596996,-47.563526848421844
2025-03-15 05:00:00,5.118644068,6.118644068,11.28813559,482.1186441,25.90508475,17.20677966,0.4821186441,0.71,3.0,28.0,14.0,51.89471205822675,-46.17715733995944
2025-03-15 06:00:00,4.13559322,5.13559322,11.23728814,472.5423729,25.8,16.62542373,0.4725423728999999,0.76,2.0,30.0,13.0,52.350322504102735,-44.17107346537721
2025-03-15 07:00:00,5.413793103,6.413793103,11.84482759,540.0172414,25.64655172,16.49827586,0.5400172414,0.72,2.0,29.0,12.0,52.47014637509238,-46.09608698455437
2025-03-15 08:00:00,23.49152542,24.86440678,16.93220339,731.8983051,25.6,21.1,0.7318983051,1.08,4.0,27.0,14.0,49.444890299606975,-21.14547743728809
2025-03-15 09:00:00,30.27118644,32.18644068,20.98305085,839.1355932,25.6,23.51355932,0.8391355932,1.15,12.0,22.0,17.0,48.88153432695556,-12.433417016425024
2025-03-15 10:00:00,17.72413793,18.72413793,17.18965517,742.0862069,25.52068966,21.71034483,0.7420862068999999,0.77,28.0,15.0,20.0,48.652120544572846,-8.259612764247882
2025-03-15 11:00:00,10.45762712,11.45762712,16.59322034,586.6101695,25.50169492,19.07627119,0.5866101695,0.37,43.0,7.0,23.0,51.50524186932089,-4.631522974955337
