Timestamp,PM2_5,PM10,O3_lcs_ppb,Carbon_Monoxide,Temp_lcs,RH_lcs,CO_lcs_ppm,CO_ref,O3_ref,RH_ref,Temp_ref,O3_baseline_cal,O3_ml_cal
2025-03-12 13:00:00,16.47457627,17.47457627,82.27118644,795.9491525,25.33389831,22.43728814,0.7959491525,,,17.0,24.0,80.1259004104746,95.21505459355458
2025-03-12 14:00:00,23.61016949,24.71186441,49.28813559,569.8813559,25.40169492,19.22542373,0.5698813559,,,15.0,26.0,64.78702619970363,59.64942893217895
2025-03-12 15:00:00,256.8103448,235.8103448,69.82758621,714.2068966,25.55172414,20.8362069,0.7142068966,,,14.0,26.0,75.30425521743058,88.1267053872054
2025-03-12 16:00:00,21.40677966,22.69491525,36.62711864,543.3389831,25.70677966,19.68474576,0.5433389831,,,13.0,27.0,59.60308516124404,62.0629603174603
2025-03-12 17:00:00,14.17241379,15.17241379,28.44827586,597.3103448,25.91551724,20.4,0.5973103448,,,13.0,27.0,56.17632772580811,75.29942328042326
2025-03-12 18:00:00,12.57627119,13.57627119,24.61016949,655.3898305,26.0,21.88474576,0.6553898305,,,16.0,26.0,54.15418689302906,85.70208201058199
2025-03-12 19:00:00,13.01694915,14.01694915,18.18644068,610.5423729,26.07288136,22.86440678,0.6105423729,,,24.0,25.0,50.93345368094259,48.98076851851852
2025-03-12 20:00:00,54.77586207,56.48275862,46.37931034,931.1551724,26.10862069,25.57586207,0.9311551724,,,27.0,24.0,64.46695344395366,72.15955952380955
2025-03-12 21:00:00,34.08474576,35.74576271,34.79661017,843.2033898,26.19661017,26.27118644,0.8432033898,,,31.0,22.0,58.79949134036487,62.63638624338625
2025-03-12 22:00:00,13.86206897,14.86206897,20.77586207,623.1206897,26.11034483,26.12931034,0.6231206897,,,34.0,21.0,51.395417606680894,53.8090264550265
2025-03-12 23:00:00,10.20338983,11.20338983,18.22033898,578.3220339,26.07627119,25.04576271,0.5783220338999999,,,32.0,21.0,50.291846728179195,49.26737962962966
2025-03-13 00:00:00,8.74137931,9.74137931,18.12068966,575.2931034,25.92931034,24.08793103,0.5752931034,,,32.0,20.0,49.8913869596942,53.695796296296315
2025-03-13 01:00:00,10.83050847,11.83050847,19.47457627,634.779661,25.59322034,24.50847458,0.634779661,,,38.0,18.0,48.966744939826114,41.43971693121695
2025-03-13 02:00:00,9.310344828,10.31034483,18.5,553.5862069,25.34655172,24.13793103,0.5535862068999999,,,39.0,17.0,47.50554335134301,49.64503835978838
2025-03-13 03:00:00,15.15254237,16.16949153,18.49152542,508.7118644,25.0440678,24.22033898,0.5087118644,,,38.0,16.0,46.146192569870976,63.25674603174604
2025-03-13 04:00:00,21.15517241,22.25862069,19.53448276,503.5172414,24.71034483,25.40517241,0.5035172414,,,45.0,15.0,44.83918651442612,40.99746031746031
2025-03-13 05:00:00,19.6779661,20.6779661,20.83050847,580.3728814,24.47627119,25.31016949,0.5803728814,,,46.0,15.0,44.49300706854642,36.625551587301594
2025-03-13 06:00:00,22.81355932,24.10169492,21.59322034,814.1355932,24.38813559,25.77627119,0.8141355932000001,,,44.0,14.0,44.34618571047004,34.884138888888884
2025-03-13 07:00:00,16.98275862,17.98275862,20.96551724,1057.344828,24.06724138,23.30862069,1.057344828,,,45.0,14.0,43.381171289819406,37.17675793650793
2025-03-13 08:00:00,16.05084746,17.05084746,30.22033898,1175.016949,24.34745763,22.45932203,1.175016949,,,39.0,15.0,49.54108395890056,35.57149735449734
2025-03-13 09:00:00,19.25862069,20.32758621,45.22413793,1069.931034,24.77413793,22.71206897,1.069931034,,,33.0,17.0,58.90289966068323,58.53961243386242
2025-03-13 10:00:00,55.86440678,57.62711864,58.18644068,1007.118644,25.00338983,22.72542373,1.007118644,,,31.0,19.0,66.4415627578152,66.37040115440118
2025-03-13 11:00:00,18.0,19.18644068,30.0,652.1525424,25.1440678,19.55423729,0.6521525424,,,23.0,21.0,53.828747025946996,61.39760317460316
2025-03-13 12:00:00,12.5,13.5,25.67241379,488.1551724,25.25172414,17.59827586,0.4881551724,,,16.0,23.0,52.72417738352493,75.73993915343912
2025-03-13 13:00:00,11.79661017,12.79661017,29.83050847,426.5932203,25.36440678,17.6779661,0.4265932202999999,,,13.0,25.0,55.29123036335689,59.363658730158726
2025-03-13 14:00:00,11.5,12.5,32.10344828,436.7241379,25.49310345,18.44310345,0.4367241379,,,14.0,26.0,56.76659385880859,63.91152248677248
2025-03-13 15:00:00,11.66101695,12.66101695,33.44067797,399.6610169,25.65084746,20.55932203,0.3996610169,,,14.0,27.0,57.48068337192559,75.45496428571428
2025-03-13 16:00:00,12.84745763,13.84745763,31.11864407,391.2372881,25.84915254,22.20677966,0.3912372881,,,19.0,27.0,56.672968824647526,80.86956349206349
2025-03-13 17:00:00,14.93103448,15.93103448,30.75862069,432.0689655,25.96896552,22.52758621,0.4320689655,,,21.0,26.0,56.91905825034526,78.66231746031745
2025-03-13 18:00:00,12.55932203,13.55932203,25.72881356,396.5762712,26.03050847,21.97457627,0.3965762712,,,21.0,25.0,54.82452831838323,86.39193915343913
2025-03-13 19:00:00,10.22413793,11.22413793,20.44827586,426.7241379,26.13793103,23.70344828,0.4267241379,,,23.0,24.0,52.100623641999846,62.244232804232794
2025-03-13 20:00:00,39.37288136,40.93220339,22.96610169,462.9491525,26.14915254,24.22711864,0.4629491525,,,27.0,23.0,53.25762666150891,63.792071428571425
2025-03-13 21:00:00,11.22033898,12.22033898,16.05084746,338.3050847,26.09661017,23.36610169,0.3383050847,,,29.0,22.0,49.80615760859476,46.24193783068784
2025-03-13 22:00:00,10.10344828,11.10344828,16.36206897,328.7931034,25.70344828,21.55172414,0.3287931034,,,28.0,22.0,48.79511376005246,53.53476984126984
2025-03-13 23:00:00,7.779661017,8.779661017,16.59322034,301.0677966,25.35254237,20.61016949,0.3010677966,,,28.0,21.0,47.65992101149337,53.531472222222185
2025-03-14 00:00:00,7.86440678,8.86440678,18.57627119,384.9152542,25.08135593,20.18474576,0.3849152542,,,27.0,20.0,47.59900771710343,55.903017195767156
2025-03-14 01:00:00,7.034482759,8.034482759,17.9137931,279.5862069,24.74137931,19.85517241,0.2795862068999999,,13.0,32.0,19.0,45.87234707479985,31.38917989417989
2025-03-14 02:00:00,6.762711864,7.762711864,18.61016949,248.440678,24.23389831,19.76610169,0.248440678,,31.0,29.0,19.0,44.02019832480599,34.92845634920634
2025-03-14 03:00:00,6.203389831,7.203389831,19.23728814,239.7966102,24.17966102,19.35762712,0.2397966102,,46.0,27.0,19.0,44.22409064979183,45.26917460317461
2025-03-14 04:00:00,5.948275862,6.948275862,19.67241379,251.5862069,23.98965517,19.05,0.2515862069,,52.0,27.0,18.0,43.70324760785384,46.431387566137566
2025-03-14 05:00:00,14.10169492,15.10169492,24.98305085,392.9491525,23.75254237,21.82542373,0.3929491525,,9.0,35.0,16.0,44.481330417876066,21.030595238095245
2025-03-14 06:00:00,26.30508475,27.86440678,28.93220339,533.0677966,23.40169492,23.49322034,0.5330677965999999,,3.0,40.0,15.0,44.415096931129014,15.895947674414096
2025-03-14 07:00:00,22.6779661,23.93220339,26.88135593,834.1864407,23.9559322,22.92881356,0.8341864407,,4.0,39.0,15.0,45.99169609616233,21.416099927849938
2025-03-14 08:00:00,22.36206897,23.70689655,27.10344828,1042.534483,24.47758621,22.04655172,1.0425344829999998,,4.0,39.0,15.0,48.66914491704654,19.26882611832612
2025-03-14 09:00:00,13.45762712,14.45762712,24.81355932,799.6610169,24.80338983,20.73050847,0.7996610169,,12.0,31.0,18.0,49.35320521648252,38.38637301587302
2025-03-14 10:00:00,16.01724138,17.13793103,29.79310345,554.862069,24.91896552,19.31724138,0.554862069,,37.0,22.0,20.0,52.80813825732238,45.65628571428572
2025-03-14 11:00:00,9.813559322,10.83050847,35.3220339,414.9322034,24.48644068,21.95423729,0.4149322034,,,,,52.88004767899572,35.008484126984115
2025-03-14 12:00:00,14.33898305,15.44067797,19.49152542,296.9830508,24.38135593,19.43728814,0.2969830508,,,11.0,24.0,45.21425938324269,46.625105820105816
2025-03-14 13:00:00,39.62068966,41.25862069,42.77586207,358.4655172,24.64655172,24.27931034,0.3584655172,0.4,59.0,6.0,26.0,56.623786873032984,58.356338624338626
2025-03-14 14:00:00,13.08474576,14.08474576,32.45762712,406.5932203,24.98135593,24.33559322,0.4065932203,0.3,60.0,5.0,27.0,52.87607634554665,63.704431216931226
2025-03-14 15:00:00,8.137931034,9.137931034,20.98275862,434.362069,25.20517241,23.58965517,0.434362069,,70.0,6.0,28.0,48.30509291361652,66.42964682539683
2025-03-14 16:00:00,6.677966102,7.677966102,20.47457627,473.6440678,25.49661017,23.7220339,0.4736440678,,87.0,9.0,28.0,49.289085078220566,74.86097222222224
2025-03-14 17:00:00,5.827586207,6.827586207,17.87931034,476.8103448,25.76034483,23.41034483,0.4768103448,,68.0,11.0,28.0,49.23620750150907,62.64055158730159
2025-03-14 18:00:00,5.915254237,6.915254237,15.05084746,484.6949153,25.83389831,23.35932203,0.4846949153,,55.0,14.0,27.0,48.149287555587065,46.509247354497326
2025-03-14 19:00:00,6.793103448,7.793103448,13.36206897,489.7931034,25.95344828,22.95517241,0.4897931034,,37.0,10.0,25.0,47.9481817344231,36.90495899470897
2025-03-14 20:00:00,9.0,10.0,12.61016949,481.1186441,26.0,22.53559322,0.4811186441,,,,,47.90329763505976,32.39756613756614
2025-03-14 21:00:00,10.42372881,11.42372881,13.08474576,498.6101695,26.01864407,22.86779661,0.4986101695,,38.0,18.0,22.0,48.12192979570959,33.694935185185166
