Timestamp,PM2.5_Data,PM10*_Data,Ozone_Data,Carbon_Monoxide_Data,Temperature_Data,Relative_Humidity_Data
08/03/2023 18:05:12,8,9,51,362,26.73,18.93
08/03/2023 18:10:12,7,8,49,364,26.63,19.30
08/03/2023 18:15:13,7,8,50,388,26.37,19.27
08/03/2023 18:20:12,4,5,50,385,26.23,19.50
08/03/2023 18:25:12,5,6,49,379,25.90,19.57
08/03/2023 18:30:11,5,6,49,381,25.53,19.70
08/03/2023 18:35:10,5,6,50,383,25.20,19.83
08/03/2023 18:40:11,6,7,50,398,24.90,20.07
08/03/2023 18:45:11,7,8,47,417,16.43,13.50
08/03/2023 18:50:11,6,7,50,426,24.37,20.37
08/03/2023 18:55:11,5,6,48,447,24.20,20.77
08/03/2023 19:00:10,5,6,51,454,23.97,21.00
08/03/2023 19:05:10,7,8,48,458,23.77,21.23
08/03/2023 19:10:10,7,8,48,478,23.57,21.33
08/03/2023 19:15:10,5,6,48,505,23.43,21.60
08/03/2023 19:20:10,7,8,44,495,23.27,22.07
08/03/2023 19:25:10,7,8,46,449,15.47,15.00
08/03/2023 19:30:10,7,8,43,425,23.07,22.70
08/03/2023 19:35:09,8,9,41,394,23.03,22.67
08/03/2023 19:40:10,9,10,41,406,22.93,22.77
08/03/2023 19:45:09,8,9,40,424,22.80,22.83
08/03/2023 19:50:08,7,8,38,434,22.63,23.00
08/03/2023 19:55:09,8,9,40,409,14.97,15.57
08/03/2023 20:00:08,10,11,42,378,22.27,24.13
08/03/2023 20:05:09,8,9,42,395,22.13,24.70
08/03/2023 20:10:08,9,10,42,412,22.00,25.47
08/03/2023 20:15:08,9,10,45,418,21.83,27.43
08/03/2023 20:20:08,11,12,50,404,21.67,29.63
08/03/2023 20:25:08,11,12,49,384,21.47,30.90
08/03/2023 20:30:08,9,10,46,394,21.33,31.63
08/03/2023 20:35:07,11,12,48,410,14.17,21.47
08/03/2023 20:40:07,10,11,46,414,21.03,32.70
08/03/2023 20:45:07,9,10,45,416,20.93,33.10
08/03/2023 20:50:07,11,12,45,426,20.83,33.40
08/03/2023 20:55:07,10,11,44,431,20.67,33.67
08/03/2023 21:00:06,10,11,43,436,20.50,33.93
08/03/2023 21:05:06,9,10,43,431,20.33,34.30
08/03/2023 21:10:07,9,10,43,416,20.17,34.50
08/03/2023 21:15:06,9,10,43,405,20.03,34.63
08/03/2023 21:20:06,8,9,42,410,19.90,34.90
08/03/2023 21:25:06,8,9,42,421,19.73,35.03
08/03/2023 21:30:06,10,11,42,426,19.63,35.23
08/03/2023 21:35:06,8,9,41,423,19.47,35.47
08/03/2023 21:40:05,9,10,41,414,19.33,35.73
08/03/2023 21:45:05,7,8,41,398,19.23,35.83
08/03/2023 21:50:05,7,8,41,396,19.13,36.10
08/03/2023 21:55:05,8,9,41,422,18.97,36.50
08/03/2023 22:00:05,8,9,35,465,18.70,36.13
08/03/2023 22:05:05,8,9,36,479,18.47,35.90
08/03/2023 22:10:05,8,9,36,480,18.27,35.83
08/03/2023 22:15:04,9,10,34,484,18.07,36.00
08/03/2023 22:20:04,10,11,36,489,17.87,36.43
08/03/2023 22:25:04,8,9,33,473,17.73,36.30
08/03/2023 22:30:04,9,10,34,462,17.57,36.40
08/03/2023 22:35:04,9,10,34,454,17.43,36.67
08/03/2023 22:40:03,10,11,35,450,17.30,37.13
08/03/2023 22:45:03,8,9,34,444,17.20,37.47
08/03/2023 22:50:16,8,9,35,435,17.13,37.90
08/03/2023 22:55:03,8,9,36,433,11.33,25.50
08/03/2023 23:00:03,9,10,35,437,16.93,38.77
08/03/2023 23:05:03,10,11,32,435,16.83,38.97
08/03/2023 23:10:02,9,10,34,437,16.77,39.30
08/03/2023 23:15:03,9,10,32,441,16.63,39.57
08/03/2023 23:20:03,10,11,32,436,16.50,39.83
08/03/2023 23:25:03,7,8,30,423,16.23,40.10
08/03/2023 23:30:02,7,8,32,412,15.97,40.33
08/03/2023 23:35:02,9,10,30,411,15.83,40.80
08/03/2023 23:40:02,8,9,31,409,15.73,41.30
08/03/2023 23:45:01,9,10,31,397,15.63,41.33
08/03/2023 23:50:02,7,8,29,386,15.57,41.17
08/03/2023 23:55:01,7,8,30,381,15.40,41.23
09/03/2023 00:00:01,8,9,30,375,15.17,41.03
09/03/2023 00:05:01,7,8,29,368,14.93,40.73
09/03/2023 00:10:03,6,7,30,365,14.83,40.73
09/03/2023 00:15:01,6,7,29,366,14.80,40.63
09/03/2023 00:20:00,6,7,26,371,14.80,39.93
09/03/2023 00:25:00,7,8,26,368,14.80,39.63
09/03/2023 00:30:01,7,8,26,364,14.80,39.73
09/03/2023 00:35:00,6,7,25,353,9.83,26.17
09/03/2023 00:40:00,6,7,25,343,14.73,38.37
09/03/2023 00:44:59,5,6,24,338,14.63,38.17
09/03/2023 00:50:00,4,5,24,338,14.47,37.10
09/03/2023 00:54:59,4,5,24,338,14.33,36.97
09/03/2023 00:59:59,5,6,25,334,14.30,37.07
09/03/2023 01:05:00,6,7,24,332,14.37,37.17
09/03/2023 01:09:59,4,5,24,326,14.40,36.73
09/03/2023 01:14:59,4,5,24,323,14.33,36.53
09/03/2023 01:19:59,5,6,24,321,14.23,37.07
09/03/2023 01:24:58,4,5,24,318,14.13,36.97
09/03/2023 01:29:58,4,5,25,314,14.03,36.90
09/03/2023 01:34:58,5,6,25,311,14.07,36.83
09/03/2023 01:39:58,4,5,24,310,14.00,36.70
09/03/2023 01:44:58,6,7,24,307,14.00,36.57
09/03/2023 01:49:57,4,5,26,306,14.00,36.63
09/03/2023 01:54:58,5,6,24,302,14.00,36.63
09/03/2023 01:59:57,4,5,26,298,4.67,12.20
09/03/2023 02:04:57,4,5,25,295,14.00,36.30
09/03/2023 02:09:57,4,5,27,294,14.00,36.27
09/03/2023 02:14:57,5,6,26,290,14.07,35.80
09/03/2023 02:19:58,5,6,25,287,14.10,35.60
09/03/2023 02:24:56,5,6,26,286,14.13,35.53
09/03/2023 02:29:56,5,6,26,287,14.10,35.47
09/03/2023 02:34:56,5,6,26,288,14.13,35.67
09/03/2023 02:39:56,6,7,27,288,14.10,35.73
09/03/2023 02:44:56,6,7,26,288,14.07,35.70
09/03/2023 02:49:56,5,6,27,287,13.97,35.83
09/03/2023 02:54:56,5,6,27,287,13.83,35.87
09/03/2023 02:59:56,5,6,26,286,13.73,36.13
09/03/2023 03:04:55,5,6,27,286,13.63,36.87
09/03/2023 03:09:55,5,6,27,286,13.50,37.27
09/03/2023 03:14:55,5,6,26,287,13.27,36.60
09/03/2023 03:19:55,4,5,25,284,13.33,35.83
09/03/2023 03:24:55,4,5,25,284,13.40,36.67
09/03/2023 03:29:55,6,7,25,286,13.30,37.23
09/03/2023 03:34:54,6,7,24,295,13.13,37.90
